RuleGroup,RiskGroup,RiskGroupName,Rule,Lower,Upper,op_lower,op_upper
Partition in 20,1,1,"Score group = 1, if Predicted >= 0.00000000 and Predicted <= 0.01417972",0,0.014179720415796796,>=,<=
Partition in 20,2,2,"Score group = 2, if Predicted > 0.01417972 and Predicted <= 0.01936361",0.014179720415796796,0.019363611393815577,>,<=
Partition in 20,3,3,"Score group = 3, if Predicted > 0.01936361 and Predicted <= 0.02778172",0.019363611393815577,0.027781720230318226,>,<=
Partition in 20,4,4,"Score group = 4, if Predicted > 0.02778172 and Predicted <= 0.04081879",0.027781720230318226,0.04081879431701403,>,<=
Partition in 20,5,5,"Score group = 5, if Predicted > 0.04081879 and Predicted <= 0.05988287",0.04081879431701403,0.05988287228042126,>,<=
Partition in 20,6,6,"Score group = 6, if Predicted > 0.05988287 and Predicted <= 0.09008190",0.05988287228042126,0.09008190290606903,>,<=
Partition in 20,7,7,"Score group = 7, if Predicted > 0.09008190 and Predicted <= 0.12513843",0.09008190290606903,0.1251384297239733,>,<=
Partition in 20,8,8,"Score group = 8, if Predicted > 0.12513843 and Predicted <= 0.16363078",0.1251384297239733,0.16363078400488662,>,<=
Partition in 20,9,9,"Score group = 9, if Predicted > 0.16363078 and Predicted <= 0.20715702",0.16363078400488662,0.20715701886517668,>,<=
Partition in 20,10,10,"Score group = 10, if Predicted > 0.20715702 and Predicted <= 0.25509542",0.20715701886517668,0.2550954219299239,>,<=
Partition in 20,11,11,"Score group = 11, if Predicted > 0.25509542 and Predicted <= 0.30501271",0.2550954219299239,0.305012705982501,>,<=
Partition in 20,12,12,"Score group = 12, if Predicted > 0.30501271 and Predicted <= 0.35321835",0.305012705982501,0.3532183507972879,>,<=
Partition in 20,13,13,"Score group = 13, if Predicted > 0.35321835 and Predicted <= 0.39906219",0.3532183507972879,0.39906219394512343,>,<=
Partition in 20,14,14,"Score group = 14, if Predicted > 0.39906219 and Predicted <= 0.44340985",0.39906219394512343,0.44340985396176436,>,<=
Partition in 20,15,15,"Score group = 15, if Predicted > 0.44340985 and Predicted <= 0.48924555",0.44340985396176436,0.48924554806363857,>,<=
Partition in 20,16,16,"Score group = 16, if Predicted > 0.48924555 and Predicted <= 0.53961892",0.48924554806363857,0.5396189207943093,>,<=
